INSTNM,STABBR,CONTROL,C150_4,MD_EARN_WNE_P10
University of Wisconsin-Parkside,WI,1,0.3982,51129.0
Herzing University-Madison,WI,2,0.2759,36909.0
University of Wisconsin-Stout,WI,1,0.5253,58084.0
University of Wisconsin-Superior,WI,1,0.4412,49606.0
University of Wisconsin-Madison,WI,1,0.8933,73792.0
University of Wisconsin-Milwaukee,WI,1,0.5119,54990.0
University of Wisconsin-Platteville,WI,1,0.6154,61760.0
University of Wisconsin-River Falls,WI,1,0.6088,54458.0
University of Wisconsin-Stevens Point,WI,1,0.5596,52021.0
Central Wyoming College,WY,1,0.4043,34402.0
Laramie County Community College,WY,1,0.3131,44783.0
Northwest College,WY,1,0.4375,36950.0
Western Wyoming Community College,WY,1,0.3333,40939.0
University of Wyoming,WY,1,0.5985,56880.0
American Samoa Community College,AS,1,0.4774,30087.0
Guam Community College,GU,1,0.224,27820.0
University of Guam,GU,1,0.4211,35946.0
Northern Marianas College,MP,1,0.4216,27836.0
Universidad Adventista de las Antillas,PR,2,0.4603,28465.0
Atlantic University,PR,2,0.3574,25272.0
Universidad Central de Bayamon,PR,2,0.3789,25021.0
Albizu University-San Juan,PR,2,0.69,41544.0
Caribbean University-Bayamon,PR,2,0.367,22842.0
Caribbean University-Carolina,PR,2,0.44,22842.0
Pontifical Catholic University of Puerto Rico-Arecibo,PR,2,0.3919,24908.0
Pontifical Catholic University of Puerto Rico-Ponce,PR,2,0.4794,24908.0
Universidad Teologica del Caribe,PR,2,0.2105,23536.0
Colegio Universitario de San Juan,PR,1,0.3013,26510.0
Universidad Ana G. Mendez-Cupey Campus,PR,2,0.3111,24490.0
Puerto Rico Conservatory of Music,PR,1,0.5714,19474.0
EDP University of Puerto Rico Inc-San Sebastian,PR,2,0.3727,22844.0
Escuela de Artes Plasticas y Diseno de Puerto Rico,PR,1,0.4493,21790.0
Humacao Community College,PR,2,0.5493,20064.0
Inter American University of Puerto Rico-San German,PR,2,0.4272,25416.0
Inter American University of Puerto Rico-Aguadilla,PR,2,0.3871,24776.0
Inter American University of Puerto Rico-Arecibo,PR,2,0.3537,24539.0
Inter American University of Puerto Rico-Barranquitas,PR,2,0.3837,23204.0
Inter American University of Puerto Rico-Metro,PR,2,0.316,30821.0
Inter American University of Puerto Rico-Ponce,PR,2,0.4311,26721.0
Inter American University of Puerto Rico-Fajardo,PR,2,0.3285,23132.0
Inter American University of Puerto Rico-Guayama,PR,2,0.3936,25827.0
Inter American University of Puerto Rico-Bayamon,PR,2,0.3301,29936.0
University of Puerto Rico-Aguadilla,PR,1,0.4766,27997.0
University of Puerto Rico-Arecibo,PR,1,0.5068,30512.0
University of Puerto Rico-Bayamon,PR,1,0.3141,34409.0
University of Puerto Rico-Carolina,PR,1,0.4023,30626.0
University of Puerto Rico at Cayey,PR,1,0.4861,30958.0
University of Puerto Rico-Humacao,PR,1,0.5293,29521.0
University of Puerto Rico-Utuado,PR,1,0.2457,23906.0
University of Puerto Rico-Mayaguez,PR,1,0.4696,48992.0
University of Puerto Rico at Ponce,PR,1,0.5058,31394.0
University of Puerto Rico-Rio Piedras,PR,1,0.5248,35723.0
Universidad Ana G. Mendez-Carolina Campus,PR,2,0.3641,24328.0
Universidad del Sagrado Corazon,PR,2,0.436,31754.0
Universidad Central Del Caribe,PR,2,0.5909,31468.0
Universidad Politecnica de Puerto Rico,PR,2,0.2356,47540.0
Pontifical Catholic University of Puerto Rico-Mayaguez,PR,2,0.4211,24908.0
Universidad Ana G. Mendez-Gurabo Campus,PR,2,0.3021,26223.0
College of Micronesia-FSM,FM,1,0.2947,24651.0
University of the Virgin Islands,VI,1,0.2857,38681.0
Stanford University,CA,2,0.9282,124080.0
Purdue University-Main Campus,IN,1,0.831,72424.0
Parker University,TX,2,0.7179,42091.0
EDP University of Puerto Rico Inc-San Juan,PR,2,0.2362,22844.0
St. John's College,NM,2,0.6,44985.0
Mid-America Christian University,OK,2,0.3333,46116.0
Landmark College,VT,2,0.2651,29813.0
Collin County Community College District,TX,1,0.2181,48701.0
Lac Courte Oreilles Ojibwe University,WI,1,0.1333,24302.0
University of Massachusetts Global,CA,1,0.0,65703.0
New College of Florida,FL,1,0.6181,48082.0
Yeshivah Gedolah Rabbinical College,FL,2,0.3636,30667.0
Caribbean University-Ponce,PR,2,0.4167,22842.0
Caribbean University-Vega Baja,PR,2,0.625,22842.0
Paradise Valley Community College,AZ,1,0.1977,47196.0
South Florida Bible College and Theological Seminary,FL,2,0.0,45354.0
Pennsylvania College of Technology,PA,1,0.5042,52567.0
Stone Child College,MT,1,0.325,24555.0
California State University-San Marcos,CA,1,0.5418,62908.0
Hodges University,FL,2,0.2239,37052.0
Yeshiva Gedolah Imrei Yosef D'spinka,NY,2,0.6154,36545.0
Universal Technology College of Puerto Rico,PR,2,0.5487,19878.0
University of Washington-Bothell Campus,WA,1,0.6822,78466.0
University of Washington-Tacoma Campus,WA,1,0.6226,78466.0
Bay Mills Community College,MI,1,0.3036,30048.0
Fond du Lac Tribal and Community College,MN,1,0.2083,45665.0
Northwest Indian College,WA,1,0.2692,35447.0
Beacon College,FL,2,0.5732,29420.0
Everglades University,FL,2,0.5775,47597.0
Herzing University-Orlando,FL,2,0.4545,36909.0
College of Biblical Studies-Houston,TX,2,0.6,39260.0
Soka University of America,CA,2,0.8692,55017.0
South Texas College,TX,1,0.2758,36788.0
California State University-Monterey Bay,CA,1,0.6323,59247.0
College of Menominee Nation,WI,2,0.275,25853.0
Trine University-Regional/Non-Traditional Campuses,IN,2,1.0,57165.0
Southeast Missouri Hospital College of Nursing and Health Sciences,MO,2,1.0,60918.0
Messenger College,TX,2,0.5556,29463.0
New York College of Health Professions,NY,2,0.5417,31601.0
Embry-Riddle Aeronautical University-Worldwide,FL,2,0.2156,84131.0
Carolinas College of Health Sciences,NC,1,1.0,64624.0
Western Governors University,UT,2,0.5089,60615.0
Herzing University-New Orleans,LA,2,0.2857,36909.0
Florida Gulf Coast University,FL,1,0.5602,54560.0
Ilisagvik College,AK,1,0.3571,39541.0
Dewey University-Carolina,PR,2,0.6197,19761.0
International Baptist College and Seminary,AZ,2,0.4286,39556.0
University of Connecticut-Waterbury Campus,CT,1,0.5948,73997.0
University of Connecticut-Avery Point,CT,1,0.5667,73997.0
University of Connecticut-Stamford,CT,1,0.5686,73997.0
Cascadia College,WA,1,0.4124,54133.0
CBD College,CA,2,0.686,37237.0
The King's University,TX,2,0.4,41471.0
Pacific Islands University,GU,2,0.5,20902.0
Atenas University,PR,2,0.4259,20231.0
Pillar College,NJ,2,0.3409,45577.0
Oregon State University-Cascades Campus,OR,1,0.5116,64010.0
Universidad Pentecostal Mizpa,PR,2,0.1429,21410.0
Nevada State University,NV,1,0.3103,53166.0
California State University-Channel Islands,CA,1,0.5345,62152.0
Franklin W Olin College of Engineering,MA,2,0.9222,129455.0
Saint Joseph's University - Lancaster,PA,2,0.6703,69731.0
University of Arkansas Grantham,AR,1,0.243,63496.0
Faith International University,WA,2,0.6667,51006.0
Williamson Christian College,TN,2,0.5,37474.0
Dewey University-Hato Rey,PR,2,0.5224,19761.0
Baptist University of the Americas,TX,2,0.2727,37709.0
Charlotte Christian College and Theological Seminary,NC,2,0.0,33696.0
University of California-Merced,CA,1,0.6915,64368.0
Central Methodist University-College of Graduate and Extended Studies,MO,2,0.0,48991.0
Johnson & Wales University-Charlotte,NC,2,0.5211,43418.0
Ave Maria University,FL,2,0.5548,49520.0
Ecclesia College,AR,2,0.3654,40650.0
Uta Mesivta of Kiryas Joel,NY,2,0.7841,31853.0
Harrisburg University of Science and Technology,PA,2,0.4337,52374.0
Georgia Gwinnett College,GA,1,0.198,47730.0
SUM Bible College and Theological Seminary,CA,2,0.4615,35418.0
Dewey University-Juana Diaz,PR,2,0.7083,19761.0
Visible Music College,TN,2,0.4828,35933.0
Yeshivas Be'er Yitzchok,NJ,2,0.1429,82560.0
Yeshiva Toras Chaim,NJ,2,0.2698,62526.0
Talmudical Seminary of Bobov,NY,2,0.4304,22432.0
Bryant & Stratton College-Wauwatosa,WI,2,0.2349,32568.0
Remington College-Shreveport Campus,LA,2,0.2593,31349.0
Providence Christian College,CA,2,0.5263,46264.0
Polytechnic University of Puerto Rico-Miami,FL,2,0.0,47540.0
Polytechnic University of Puerto Rico-Orlando,FL,2,0.0833,47540.0
University of Minnesota-Rochester,MN,1,0.5691,69020.0
Homestead Schools,CA,2,0.9375,59398.0
University of Fort Lauderdale,FL,2,0.75,38062.0
Pacific Rim Christian University,HI,2,0.5238,40523.0
Touro University Worldwide,CA,2,0.4231,40803.0
Herzing University-Kenosha,WI,2,0.5,36909.0
Herzing University-Brookfield,WI,2,0.4,36909.0
Texas A&M University-San Antonio,TX,1,0.2937,54338.0
Johnson & Wales University-Online,RI,2,0.0,43418.0
Carolina College of Biblical Studies,NC,2,0.2222,24581.0
John Paul the Great Catholic University,CA,2,0.6533,56930.0
University of Connecticut-Hartford Campus,CT,1,0.6536,73997.0
Ottawa University-Surprise,AZ,2,0.2252,55552.0
Dewey University-Manati,PR,2,0.7429,19761.0
Criswell College,TX,2,0.5714,43185.0
Be'er Yaakov Talmudic Seminary,NY,2,0.5304,17360.0
Pennsylvania State University-World Campus,PA,1,0.3363,63435.0
Bryant & Stratton College-Online,NY,2,0.1833,32568.0
Augusta University,GA,1,0.4865,48472.0
Middle Georgia State University,GA,1,0.256,40863.0
University of North Georgia,GA,1,0.3685,50135.0
South Georgia State College,GA,1,0.2031,35697.0
University of Florida-Online,FL,1,0.7766,71588.0
Georgia Military College,GA,1,0.3294,39257.0
Kennesaw State University,GA,1,0.4806,57552.0
Milligan University,TN,2,0.6029,46641.0
Husson University,ME,2,0.5667,45025.0
Northwest University-Center for Online and Extended Education,WA,2,0.3077,54914.0
Indiana Wesleyan University-National & Global,IN,2,0.3722,59986.0
Purdue University Global,IN,1,0.4762,36596.0
Carolina University,NC,2,0.2923,32864.0
Purdue University Northwest,IN,1,0.4402,48318.0
EDP University of Puerto Rico-Villalba,PR,2,0.3636,22844.0
Drury University-College of Continuing Professional Studies,MO,2,0.3208,40694.0
Commonwealth University of Pennsylvania,PA,1,0.5302,52416.0
Pennsylvania Western University,PA,1,0.5103,47295.0
