INSTNM,STABBR,CONTROL,C150_4,MD_EARN_WNE_P10
Columbia College Chicago,IL,2,0.4846,42195.0
Concordia University-Chicago,IL,2,0.474,54089.0
DePaul University,IL,2,0.7,68751.0
East-West University,IL,2,0.2295,29963.0
Eastern Illinois University,IL,1,0.4517,51989.0
Elmhurst University,IL,2,0.6519,61462.0
Eureka College,IL,2,0.4057,51641.0
Governors State University,IL,1,0.196,58169.0
Greenville University,IL,2,0.5136,46827.0
Hebrew Theological College,IL,2,0.7308,33291.0
University of Illinois Chicago,IL,1,0.603,68740.0
Benedictine University,IL,2,0.5095,63446.0
University of Illinois Urbana-Champaign,IL,1,0.8489,81054.0
Illinois Wesleyan University,IL,2,0.8254,70871.0
Illinois College,IL,2,0.6109,52575.0
Illinois Institute of Technology,IL,2,0.7244,82592.0
Illinois State University,IL,1,0.6632,62117.0
Judson University,IL,2,0.5325,56313.0
Knox College,IL,2,0.6751,54820.0
Lake Forest College,IL,2,0.7042,61825.0
Lewis University,IL,2,0.6256,66099.0
Lincoln Christian University,IL,2,0.5823,43038.0
Loyola University Chicago,IL,2,0.7692,71530.0
McKendree University,IL,2,0.5954,58572.0
Methodist College,IL,2,0.75,69800.0
Millikin University,IL,2,0.5907,51262.0
Monmouth College,IL,2,0.6014,51110.0
Moody Bible Institute,IL,2,0.6199,45399.0
National Louis University,IL,2,0.3687,45799.0
North Central College,IL,2,0.7114,60123.0
North Park University,IL,2,0.5596,59572.0
Northern Illinois University,IL,1,0.4965,57808.0
Northwestern University,IL,2,0.9589,89363.0
Northeastern Illinois University,IL,1,0.1679,52234.0
Olivet Nazarene University,IL,2,0.6027,53213.0
Quincy University,IL,2,0.4274,50369.0
Rockford University,IL,2,0.3826,54794.0
Roosevelt University,IL,2,0.4099,48712.0
Dominican University,IL,2,0.6236,60327.0
University of St Francis,IL,2,0.6463,63926.0
Saint Xavier University,IL,2,0.59,58656.0
University of Illinois Springfield,IL,1,0.6137,57103.0
St. Augustine College,IL,2,0.2775,35723.0
Southern Illinois University-Carbondale,IL,1,0.563,53390.0
Southern Illinois University Edwardsville,IL,1,0.5497,56346.0
Trinity Christian College,IL,2,0.6387,55700.0
Trinity International University-Illinois,IL,2,0.4565,46989.0
VanderCook College of Music,IL,2,0.4667,47863.0
Western Illinois University,IL,1,0.4477,54163.0
Wheaton College,IL,2,0.8655,63756.0
Anderson University,IN,2,0.4942,48899.0
Ball State University,IN,1,0.6327,51833.0
Bethel University,IN,2,0.5721,48860.0
Butler University,IN,2,0.8015,77235.0
Calumet College of Saint Joseph,IN,2,0.299,46945.0
DePauw University,IN,2,0.8,70527.0
Earlham College,IN,2,0.6794,50797.0
University of Evansville,IN,2,0.7127,53770.0
Franklin College,IN,2,0.634,55376.0
Goshen College,IN,2,0.6047,51943.0
Grace College and Theological Seminary,IN,2,0.6991,45411.0
Hanover College,IN,2,0.6356,53957.0
Holy Cross College,IN,2,0.2947,50416.0
Huntington University,IN,2,0.682,46672.0
Purdue University Fort Wayne,IN,1,0.3247,45872.0
Indiana University-Indianapolis,IN,1,0.5387,55198.0
University of Indianapolis,IN,2,0.5581,53610.0
Indiana Institute of Technology,IN,2,0.3139,47327.0
University of Southern Indiana,IN,1,0.5195,47605.0
Indiana State University,IN,1,0.4107,48387.0
Indiana University-Kokomo,IN,1,0.4475,49917.0
Indiana University-South Bend,IN,1,0.3574,44947.0
Indiana University-Bloomington,IN,1,0.8117,63742.0
Indiana University-Northwest,IN,1,0.3685,43361.0
Indiana University-Southeast,IN,1,0.3341,47596.0
Indiana University-East,IN,1,0.4536,47156.0
Manchester University,IN,2,0.4484,51504.0
Marian University,IN,2,0.6095,58759.0
Indiana Wesleyan University-Marion,IN,2,0.6633,59986.0
Martin University,IN,2,0.3333,22544.0
Mid-America College of Funeral Service,IN,2,0.5574,44505.0
University of Notre Dame,IN,2,0.9683,99980.0
Oakland City University,IN,2,0.7,43283.0
Rose-Hulman Institute of Technology,IN,2,0.8169,101253.0
University of Saint Francis-Fort Wayne,IN,2,0.6067,55362.0
Saint Mary-of-the-Woods College,IN,2,0.5227,43845.0
Saint Mary's College,IN,2,0.7652,59354.0
Taylor University,IN,2,0.7656,52198.0
Trine University,IN,2,0.6761,57165.0
Valparaiso University,IN,2,0.6704,63191.0
Vincennes University,IN,1,0.3473,41110.0
Wabash College,IN,2,0.7706,69952.0
Briar Cliff University,IA,2,0.4937,54475.0
Buena Vista University,IA,2,0.4729,49156.0
Central College,IA,2,0.6916,54317.0
Clarke University,IA,2,0.5494,55396.0
Coe College,IA,2,0.59,57125.0
Cornell College,IA,2,0.7167,53460.0
Dordt University,IA,2,0.6533,52559.0
Drake University,IA,2,0.7731,71901.0
University of Dubuque,IA,2,0.4105,51190.0
Emmaus Bible College,IA,2,0.8167,42631.0
Faith Baptist Bible College and Theological Seminary,IA,2,0.6105,40650.0
Graceland University-Lamoni,IA,2,0.3834,47361.0
Grand View University,IA,2,0.5579,52824.0
Grinnell College,IA,2,0.8747,62830.0
Iowa State University,IA,1,0.7547,63386.0
University of Iowa,IA,1,0.7306,64762.0
Loras College,IA,2,0.6985,58289.0
Luther College,IA,2,0.75,59850.0
Maharishi International University,IA,2,0.1765,27981.0
Mercy College of Health Sciences,IA,2,0.4857,62234.0
Morningside University,IA,2,0.5284,55494.0
Mount Mercy University,IA,2,0.5588,60787.0
University of Northern Iowa,IA,1,0.6894,55177.0
Northwestern College,IA,2,0.6357,49802.0
Palmer College of Chiropractic,IA,2,0.0,59483.0
Saint Ambrose University,IA,2,0.6285,59531.0
St Luke's College,IA,2,0.3333,61033.0
Simpson College,IA,2,0.6566,59274.0
Upper Iowa University,IA,2,0.4147,52766.0
Wartburg College,IA,2,0.6682,56201.0
William Penn University,IA,2,0.2924,48936.0
Baker University,KS,2,0.5938,63855.0
