State,FY,COLI (Cost of Living) Adjustment,EMI (Enrollment Mix) Adjustment,HECA (Inflation) Adjustment,CPI (Inflation) Adjustment,Total State Support,Total State and Local Support,Total Federal Stimulus,Total State and Local Support Excluding Federal Stimulus,Adjustments to State Support,Research - Agriculture - Medical (RAM),Total Independent Support,Total Financial Aid,Education Appropriations,Public Federal Stimulus,Education Appropriations Excluding Federal Stimulus,General Public Operations,State Public Financial Aid as a Percent of Education Appropriations,Net Tuition and Fee Revenue,Student Share,Total Education Revenue,Total Education Revenue Excluding Federal Stimulus,Net FTE Enrollment,State Tax Appropriations,Non-Tax Support,Local Appropriations,Federal Stimulus Used for Financial Aid,Agency Funding,Independent Operating,Non-Credit,State Public Financial Aid,Independent Financial Aid,Out-of-State Financial Aid,Agriculture and Extension Appropriations,Hospital Appropriations,Medical School Appropriations,Research Appropriations,Gross Tuition and Fee Revenue,Medical Tuition and Fee Revenue,Institutional Discounts and Waivers,Tuition and Fees Used for Debt Service,Gross FTE Enrollment,Medical FTE Enrollment
Tennessee,2024,0.868302,0.996218,1.0,1.0,2810088575,2810088575,0.0,2810088575,131102975.0,446811800,99346930.0,557574300.0,2263929845,0.0,2263929845,1801875513.0,0.204093926770951,1263249849,0.362790272185941,3482038924,3482038924,179740,2235885600.0,443100000.0,0,0.0,57346500.0,3826962.0,0.0,462054332.0,95519968.0,0.0,96985400.0,227560900.0,83650500.0,38615000.0,2109215625.0,120259491.0,263651953.0,45140770.0,183744.0,4004.0
Texas,2024,0.909418,0.999183,1.0,1.0,11840596641,15103345654,0.0,15103345654,2877202116.0,2866455941,97913339.0,718808584.0,12138976374,0.0,12138976374,11518081129.0,0.0511488964036433,7545342056,0.383317414968276,19684318430,19684318430,1044485,8891930230.0,71464295.0,3262749013,0.0,77080382.0,0.0,0.0,620895245.0,97913339.0,0.0,178004571.0,978235864.0,935860452.0,774355054.0,9868505010.0,408149339.0,1294118370.0,0.0,1054099.0,9614.0
Utah,2024,0.975545,1.019268,1.0,1.0,1866968800,1866968800,29000000.0,1837968800,0.0,133597100,9015648.0,40226312.0,1718053252,29000000.0,1689053252,1657842588.0,0.0181662960468003,973753165,0.361747099958711,2691806417,2662806417,133372,1829873400.0,8095400.0,0,0.0,13070000.0,0.0,6302800.0,31210664.0,9015648.0,0.0,38036200.0,21300700.0,71474600.0,2785600.0,1235056130.0,50074269.0,180018032.0,0.0,135279.0,1907.0
Vermont,2024,1.140446,0.973758,1.0,1.0,151841781,151841781,6966173.0,144875608,-2370983.0,20515038,6249445.0,26200664.0,118639152,6966173.0,111672979,97859906.0,0.116429296460244,359885252,0.775077691854558,464321520,457355347,19987,147246591.0,0.0,0,1153376.0,0.0,0.0,300000.0,13813073.0,6249445.0,5629796.0,10113925.0,0.0,10020751.0,380362.0,601455114.0,28529835.0,199226954.0,14202884.0,20475.0,488.0
Virginia,2024,0.964973,1.023269,1.0,1.0,3421035585,3440556125,0.0,3440556125,0.0,297123552,150469775.0,680218508.0,2972248996,0.0,2972248996,2402471369.0,0.191699157024461,2487034584,0.457798248421108,5432599606,5432599606,296469,3421035585.0,0.0,19520540,0.0,10620507.0,50143894.0,10598802.0,569777627.0,100325881.0,170000.0,89068408.0,0.0,73247414.0,134807730.0,3982675899.0,119225012.0,806638676.0,26683974.0,299406.0,2937.0
Washington,2024,1.08211,0.990187,1.0,1.0,3006610014,3006610014,0.0,3006610014,0.0,145230321,76759560.0,499326693.0,2784620133,0.0,2784620133,2362053000.0,0.151750369105013,1549198094,0.357467252398447,4333818227,4333818227,199389,3006610014.0,0.0,0,0.0,45086000.0,0.0,0.0,422567133.0,76759560.0,0.0,15600000.0,7000000.0,80530321.0,42100000.0,2100462822.0,64545000.0,64152595.0,0.0,202800.0,3411.0
West Virginia,2024,0.897032,1.024591,1.0,1.0,574047605,574047605,0.0,574047605,0.0,162364720,7421992.0,96760999.0,396139751,0.0,396139751,306895355.0,0.225285131761493,455671879,0.585239148707275,778607993,778607993,58308,533737667.0,40309938.0,0,0.0,9986217.0,0.0,8026531.0,89244396.0,7421992.0,94611.0,31584086.0,10801236.0,117630382.0,2349016.0,862374516.0,148896894.0,168561347.0,73203637.0,60311.0,2003.0
Wisconsin,2024,0.942542,1.001632,1.0,1.0,1876991767,2147278664,14526258.0,2132752406,0.0,216658597,41979675.0,144369954.0,1888618860,14526258.0,1874092602,1760685855.0,0.0600474502303763,1553153855,0.451265665577223,3441772715,3427246457,199417,1862465509.0,0.0,270286897,0.0,116535493.0,11038000.0,0.0,113406747.0,30941675.0,21532.0,39919533.0,24384015.0,35051425.0,117303624.0,1896284623.0,45102026.0,184621995.0,,200538.0,1121.0
Wyoming,2024,0.990072,0.956238,1.0,1.0,406021325,449595129,10323638.0,439271491,17324256.0,39164913,0.0,29483442.0,409419622,10323638.0,399095984,369612542.0,0.0720127722652238,82101641,0.167279833139481,490804178,480480540,20487,378373431.0,0.0,43573804,0.0,4069053.0,0.0,1010594.0,29483442.0,0.0,0.0,9569566.0,15041178.0,0.0,14554169.0,174238440.0,0.0,62653357.0,717085.0,20545.0,58.0
U.S.,2024,1.0,1.0,1.0,1.0,124314882899,139115962233,624144206.0,138491818027,3637242396.0,13979275848,3142556284.0,14873449316.0,121502160785,614789402.0,120887371383,108875993791.0,0.0988573167291594,78095921500,0.393336439715286,198547384922,197932595520,10399511,114467569720.0,5585926577.0,14801079334,95210101.0,1839989173.0,357662161.0,405436911.0,12011377592.0,2784894123.0,47658243.0,2709161631.0,1956112629.0,6427335801.0,2886665787.0,113854421517.0,3932801468.0,19814320957.0,1050697363.0,10565061.0,165550.0
